new data done

Ultra simple LIDAR data grabber for RPLIDAR.
Version: 1.10.0
RPLIDAR S/N: BE9B9AF2C1EA98D4BEEB9CF031483517
Firmware Ver: 1.25
Hardware Rev: 5
RPLidar health status : 0
   theta: 114.33 Dist: 00392.00 Q: 47 
   theta: 120.47 Dist: 00000.00 Q: 0 
   theta: 122.56 Dist: 00000.00 Q: 0 
   theta: 124.66 Dist: 00000.00 Q: 0 
   theta: 129.44 Dist: 00475.00 Q: 47 
   theta: 135.11 Dist: 00000.00 Q: 0 
   theta: 138.12 Dist: 00382.00 Q: 47 
   theta: 145.92 Dist: 00385.00 Q: 47 
   theta: 153.73 Dist: 00386.00 Q: 47 
   theta: 158.14 Dist: 00000.00 Q: 0 
   theta: 160.23 Dist: 00000.00 Q: 0 
   theta: 162.03 Dist: 00385.00 Q: 47 
   theta: 162.33 Dist: 00000.00 Q: 0 
   theta: 164.42 Dist: 00000.00 Q: 0 
   theta: 166.52 Dist: 00000.00 Q: 0 
   theta: 168.61 Dist: 00000.00 Q: 0 
   theta: 169.47 Dist: 00385.00 Q: 47 
   theta: 170.70 Dist: 00000.00 Q: 0 
   theta: 174.89 Dist: 00000.00 Q: 0 
   theta: 177.64 Dist: 00385.00 Q: 47 
   theta: 179.06 Dist: 00000.00 Q: 0 
   theta: 185.45 Dist: 00385.00 Q: 47 
   theta: 193.38 Dist: 00386.00 Q: 47 
   theta: 201.56 Dist: 00387.00 Q: 47 
   theta: 209.61 Dist: 00386.00 Q: 47 
   theta: 216.75 Dist: 00000.00 Q: 0 
   theta: 218.84 Dist: 00000.00 Q: 0 
   theta: 220.92 Dist: 00000.00 Q: 0 
   theta: 223.02 Dist: 00000.00 Q: 0 
   theta: 223.17 Dist: 00420.00 Q: 47 
   theta: 225.11 Dist: 00000.00 Q: 0 
   theta: 229.30 Dist: 00000.00 Q: 0 
   theta: 231.39 Dist: 00000.00 Q: 0 
   theta: 233.48 Dist: 00000.00 Q: 0 
   theta: 235.58 Dist: 00000.00 Q: 0 
   theta: 237.67 Dist: 00000.00 Q: 0 
   theta: 239.77 Dist: 00000.00 Q: 0 
   theta: 241.86 Dist: 00000.00 Q: 0 
   theta: 243.95 Dist: 00000.00 Q: 0 
   theta: 246.05 Dist: 00000.00 Q: 0 
   theta: 255.45 Dist: 00278.00 Q: 47 
   theta: 256.61 Dist: 00277.00 Q: 47 
   theta: 257.66 Dist: 00275.00 Q: 47 
   theta: 258.58 Dist: 00274.00 Q: 47 
   theta: 260.00 Dist: 00274.00 Q: 47 
   theta: 260.70 Dist: 00336.00 Q: 47 
   theta: 261.42 Dist: 00272.00 Q: 47 
   theta: 261.59 Dist: 00272.00 Q: 47 
   theta: 262.77 Dist: 00271.00 Q: 47 
   theta: 263.77 Dist: 00331.00 Q: 47 
   theta: 263.81 Dist: 00271.00 Q: 47 
   theta: 264.86 Dist: 00270.00 Q: 47 
   theta: 266.84 Dist: 00326.00 Q: 47 
   theta: 267.03 Dist: 00270.00 Q: 47 
   theta: 267.94 Dist: 00270.00 Q: 47 
   theta: 268.36 Dist: 00271.00 Q: 47 
   theta: 269.16 Dist: 00271.00 Q: 47 
   theta: 270.53 Dist: 00322.00 Q: 47 
   theta: 273.47 Dist: 00319.00 Q: 47 
   theta: 274.94 Dist: 00316.00 Q: 47 
   theta: 276.66 Dist: 00314.00 Q: 47 
   theta: 279.97 Dist: 00311.00 Q: 47 
   theta: 282.66 Dist: 00308.00 Q: 47 
   theta: 283.52 Dist: 00493.00 Q: 47 
   theta: 284.44 Dist: 00498.00 Q: 47 
   theta: 285.36 Dist: 00503.00 Q: 47 
   theta: 286.11 Dist: 00306.00 Q: 47 
   theta: 286.41 Dist: 00507.00 Q: 47 
   theta: 287.44 Dist: 00512.00 Q: 47 
   theta: 288.36 Dist: 00519.00 Q: 47 
   theta: 288.80 Dist: 00301.00 Q: 47 
   theta: 289.64 Dist: 00523.00 Q: 47 
   theta: 290.44 Dist: 00530.00 Q: 47 
   theta: 291.47 Dist: 00537.00 Q: 47 
   theta: 291.61 Dist: 00300.00 Q: 47 
   theta: 292.39 Dist: 00543.00 Q: 47 
   theta: 293.55 Dist: 00550.00 Q: 47 
   theta: 294.47 Dist: 00557.00 Q: 47 
   theta: 295.05 Dist: 00298.00 Q: 47 
   theta: 295.38 Dist: 00565.00 Q: 47 
   theta: 296.28 Dist: 00000.00 Q: 0 
   theta: 296.42 Dist: 00571.00 Q: 47 
   theta: 297.58 Dist: 00580.00 Q: 47 
   theta: 298.12 Dist: 00294.00 Q: 47 
   theta: 298.38 Dist: 00000.00 Q: 0 
   theta: 298.62 Dist: 00588.00 Q: 47 
   theta: 299.53 Dist: 00599.00 Q: 47 
   theta: 300.58 Dist: 00608.00 Q: 47 
   theta: 301.44 Dist: 00293.00 Q: 47 
   theta: 301.48 Dist: 00620.00 Q: 47 
   theta: 302.66 Dist: 00631.00 Q: 47 
   theta: 303.45 Dist: 00641.00 Q: 47 
   theta: 304.36 Dist: 00655.00 Q: 47 
   theta: 304.50 Dist: 00291.00 Q: 47 
   theta: 305.53 Dist: 00666.00 Q: 47 
   theta: 307.56 Dist: 00288.00 Q: 47 
   theta: 309.84 Dist: 01108.00 Q: 47 
   theta: 310.08 Dist: 00561.00 Q: 47 
   theta: 310.38 Dist: 00286.00 Q: 47 
   theta: 310.52 Dist: 00377.00 Q: 47 
   theta: 310.92 Dist: 00000.00 Q: 0 
   theta: 312.77 Dist: 00471.00 Q: 47 
   theta: 313.02 Dist: 00000.00 Q: 0 
   theta: 313.56 Dist: 00284.00 Q: 47 
   theta: 313.80 Dist: 00467.00 Q: 47 
   theta: 315.11 Dist: 00000.00 Q: 0 
   theta: 317.83 Dist: 00449.00 Q: 47 
   theta: 317.97 Dist: 00452.00 Q: 47 
   theta: 318.88 Dist: 00447.00 Q: 47 
   theta: 319.12 Dist: 00446.00 Q: 47 
   theta: 319.92 Dist: 00445.00 Q: 47 
   theta: 321.06 Dist: 00437.00 Q: 47 
   theta: 321.39 Dist: 00000.00 Q: 0 
   theta: 322.38 Dist: 00441.00 Q: 47 
   theta: 323.11 Dist: 00431.00 Q: 47 
   theta: 324.52 Dist: 00428.00 Q: 47 
   theta: 324.58 Dist: 00423.00 Q: 47 
   theta: 325.30 Dist: 00423.00 Q: 47 
   theta: 326.45 Dist: 00420.00 Q: 47 
   theta: 326.66 Dist: 00432.00 Q: 47 
   theta: 327.23 Dist: 00416.00 Q: 47 
   theta: 328.50 Dist: 00424.00 Q: 47 
   theta: 328.88 Dist: 00386.00 Q: 47 
   theta: 329.41 Dist: 00411.00 Q: 47 
   theta: 330.56 Dist: 00399.00 Q: 47 
   theta: 330.83 Dist: 00423.00 Q: 47 
   theta: 331.47 Dist: 00404.00 Q: 47 
   theta: 332.50 Dist: 00405.00 Q: 47 
   theta: 333.03 Dist: 00422.00 Q: 47 
   theta: 334.98 Dist: 00420.00 Q: 47 
   theta: 337.58 Dist: 00381.00 Q: 47 
   theta: 339.03 Dist: 00411.00 Q: 47 
   theta: 341.23 Dist: 00354.00 Q: 47 
   theta: 342.33 Dist: 00000.00 Q: 0 
   theta: 343.20 Dist: 00410.00 Q: 47 
   theta: 343.28 Dist: 00394.00 Q: 47 
   theta: 344.59 Dist: 00460.00 Q: 47 
   theta: 345.28 Dist: 00405.00 Q: 47 
   theta: 346.12 Dist: 00382.00 Q: 47 
   theta: 347.41 Dist: 00384.00 Q: 47 
   theta: 348.61 Dist: 00000.00 Q: 0 
   theta: 351.19 Dist: 00278.00 Q: 47 
   theta: 352.80 Dist: 00000.00 Q: 0 
S  theta: 354.89 Dist: 00415.00 Q: 47 
S  theta: 0.00 Dist: 00000.00 Q: 0 
   theta: 2.69 Dist: 00364.00 Q: 47 
   theta: 3.86 Dist: 00000.00 Q: 0 
   theta: 4.52 Dist: 00390.00 Q: 47 
   theta: 7.73 Dist: 00000.00 Q: 0 
   theta: 7.94 Dist: 00470.00 Q: 47 
   theta: 11.61 Dist: 00000.00 Q: 0 
   theta: 12.73 Dist: 00386.00 Q: 47 
   theta: 14.56 Dist: 00386.00 Q: 47 
   theta: 17.02 Dist: 00387.00 Q: 47 
   theta: 18.84 Dist: 00385.00 Q: 47 
   theta: 21.19 Dist: 00385.00 Q: 47 
   theta: 23.14 Dist: 00385.00 Q: 47 
   theta: 23.22 Dist: 00000.00 Q: 0 
   theta: 25.22 Dist: 00386.00 Q: 47 
   theta: 25.44 Dist: 00747.00 Q: 47 
   theta: 26.34 Dist: 00757.00 Q: 47 
   theta: 27.38 Dist: 00768.00 Q: 47 
   theta: 28.42 Dist: 00779.00 Q: 47 
   theta: 29.45 Dist: 00792.00 Q: 47 
   theta: 30.50 Dist: 00804.00 Q: 47 
   theta: 30.95 Dist: 00000.00 Q: 0 
   theta: 31.41 Dist: 00833.00 Q: 47 
   theta: 32.45 Dist: 00835.00 Q: 47 
   theta: 33.61 Dist: 00818.00 Q: 47 
   theta: 34.41 Dist: 00864.00 Q: 47 
   theta: 35.56 Dist: 00880.00 Q: 47 
   theta: 36.48 Dist: 00897.00 Q: 47 
   theta: 37.52 Dist: 00916.00 Q: 47 
   theta: 38.56 Dist: 00934.00 Q: 47 
   theta: 39.47 Dist: 00957.00 Q: 47 
   theta: 40.52 Dist: 00977.00 Q: 47 
   theta: 41.55 Dist: 01004.00 Q: 47 
   theta: 42.58 Dist: 01027.00 Q: 47 
   theta: 43.62 Dist: 01052.00 Q: 47 
   theta: 44.53 Dist: 01079.00 Q: 47 
   theta: 45.58 Dist: 01110.00 Q: 47 
   theta: 46.61 Dist: 01143.00 Q: 47 
   theta: 47.53 Dist: 01176.00 Q: 47 
   theta: 48.56 Dist: 01214.00 Q: 47 
   theta: 49.61 Dist: 01250.00 Q: 47 
   theta: 50.64 Dist: 01295.00 Q: 47 
   theta: 51.56 Dist: 01337.00 Q: 47 
   theta: 52.59 Dist: 01391.00 Q: 47 
   theta: 53.52 Dist: 01444.00 Q: 47 
   theta: 54.55 Dist: 01499.00 Q: 47 
   theta: 55.59 Dist: 01561.00 Q: 47 
   theta: 56.62 Dist: 01632.00 Q: 47 
   theta: 57.67 Dist: 01711.00 Q: 47 
   theta: 62.75 Dist: 01794.00 Q: 47 
   theta: 67.97 Dist: 01733.00 Q: 47 
